run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
b1430f63bc93,14,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.037855,0.185,0,0.51827,0.00272297,0.664421,0.118391,2716.98,6.79245,2.57438,2.1174,0.0400623,0.0128736,0.0649362,0.230594,0.576486
b208aa9130d0,15,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0384643,0.19,0,0.517526,0.00263323,0.669094,0.140886,2756.21,6.89054,2.80922,1.96377,0.0402394,0.0126987,0.0171671,0.233061,0.582653
e6759bc65f74,16,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0350957,0.185,0,0.518662,0.00246317,0.687263,0.0198325,2731.63,6.82909,2.31348,1.93315,0.0363612,0.015179,0.0259017,0.227653,0.569132
e989b6b20949,17,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0353363,0.1775,0,0.514775,0.00263569,0.667114,0.0239871,2752.44,6.88109,2.53389,1.46413,0.0372782,0.01468,0.0244542,0.249711,0.624277
811e649a766d,18,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0434311,0.1725,0,0.527826,0.00257686,0.678922,0.108638,2776.76,6.9419,2.79493,2.0268,0.045905,0.0161986,0.0443642,0.251155,0.627888
6f4084eb035c,19,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.039576,0.1925,0,0.508909,0.00258892,0.664917,0.0615545,2711.55,6.77888,2.61735,1.96933,0.0399925,0.0171129,0.0202062,0.258553,0.646382
cf113fbcb1ee,0,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0339163,0.215,0,0.522593,0.00257277,0.648273,0.0906559,2829.3,7.07325,1.36324,1.02948,0.0346633,0.0159265,0.0251959,0.234333,0.585833
d1f2613c30ee,1,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0378603,0.215,0,0.518895,0.00256849,0.655334,0.0403173,2754.16,6.8854,1.84781,1.37019,0.0388553,0.0164801,0.0241502,0.233385,0.583462
cd24df24bf3e,2,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.0424733,0.2025,0,0.50779,0.00253924,0.659338,0.0671617,2716.05,6.79012,2.45328,1.52149,0.0428608,0.0181306,0.0455301,0.233464,0.583659
027f7b0cb1bf,3,0.008,labdesktop,2026-09-20T09:56:29+00:00,1073b69d29e5,0.008,0.037891,0.2075,0,0.524193,0.00262367,0.652186,0.151099,2782.9,6.95724,2.10742,1.32857,0.0384817,0.0137805,0.0600515,0.235466,0.588666
