run_id,seed,variant,host,date,code,resampler,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,map_error,map_error_aligned,landmarks_mapped,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
01a0be57fdd9,4,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.262268,1,0,0.77692,0.02,0.894302,0.649741,0.507546,0.0659452,8,41.2256,5.78526,0.483849,0.0382557,0.501795,1.4372,2.87441
262321164701,5,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.16876,1,0,0.7762,0.02,0.888659,0.677172,1.68507,0.101087,8,166.235,133.77,1.64293,0.0913484,1.56275,1.44171,2.88341
3abacb6009d1,6,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.358778,1,0,0.77968,0.02,0.893636,0.683102,0.978674,0.0884617,8,48.2789,33.5402,0.846291,0.0480002,0.77772,1.44242,2.88483
bb8c61dd0a52,7,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.165692,1,0,0.77644,0.02,0.889687,0.59326,0.359127,0.0671996,8,11.5429,3.78614,0.31254,0.0241733,0.422932,1.44342,2.88685
a9e2fd33d57d,8,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.259869,1,0,0.77804,0.02,0.894781,0.652529,0.867603,0.0567385,8,69.2018,26.2273,0.776569,0.02714,0.85164,1.44183,2.88366
606967d8e0d3,9,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.227614,1,0,0.7744,0.02,0.888662,0.639046,0.368796,0.0789303,8,6.7211,3.57774,0.402827,0.0343003,0.129404,1.43404,2.86808
6751873d996a,10,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.210252,1,0,0.78068,0.02,0.896049,0.617277,1.41402,0.050678,8,133.4,77.8002,1.3175,0.0803431,1.16247,1.44627,2.89255
e6d5296eb0c3,11,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.156637,1,0,0.77872,0.02,0.892148,0.666786,1.16913,0.0794979,8,67.1393,42.4494,1.04607,0.0805885,1.11093,1.44168,2.88335
0b44dc3bd1e3,12,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.171347,1,0,0.77708,0.02,0.894442,0.633485,0.34685,0.0765978,8,2.87479,2.30645,0.359006,0.0359136,0.330298,1.44242,2.88484
76700660f736,13,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.142052,1,0,0.77896,0.02,0.894703,0.681932,0.726863,0.086119,8,9.70123,7.57715,0.525751,0.0494371,0.805993,1.44609,2.89217
86f20ee8427f,14,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.185529,1,0,0.77852,0.02,0.890156,0.68059,0.759713,0.0830495,8,17.0822,14.2392,0.586345,0.0447778,0.402905,1.44973,2.89946
b8d8823bcd94,15,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,residual,50,0.186844,1,0,0.77748,0.02,0.89032,0.630572,1.1517,0.109287,8,92.4327,58.5975,1.06227,0.059782,1.22458,1.474,2.94799
814aa19815ff,16,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:45+00:00,d7328d3e3c3f,residual,50,0.263368,1,0,0.77972,0.02,0.891804,0.715431,1.13263,0.0824645,8,48.1516,38.2201,1.02548,0.0718854,0.960103,1.45317,2.90634
73f6c4e62e38,17,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:45+00:00,d7328d3e3c3f,residual,50,0.228083,1,0,0.77316,0.02,0.890844,0.717475,1.74551,0.116006,8,155.649,114.83,1.59846,0.107863,1.38475,1.45779,2.91558
b7ce8c74d032,18,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:45+00:00,d7328d3e3c3f,residual,50,0.165552,1,0,0.77408,0.02,0.888797,0.511012,0.768084,0.0845025,8,57.1736,16.2341,0.750466,0.0347614,0.751585,1.45851,2.91702
889d900f4818,19,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:45+00:00,d7328d3e3c3f,residual,50,0.171598,1,0,0.77924,0.02,0.893435,0.722746,0.263603,0.100919,8,3.73864,2.083,0.285391,0.0243954,0.31472,1.45791,2.91583
80eaa18611b3,0,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.299161,1,0,0.8008,0.1,0.89589,0.651702,2.39333,0.139881,8,11123.4,1719.52,2.2032,0.127175,1.71596,0.751624,1.50325
faa4fb82cc65,1,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.33707,1,0,0.8042,0.1,0.896652,0.643233,0.533479,0.152284,8,1468.63,67.0246,0.482861,0.0332734,0.334192,0.753839,1.50768
9029a8901d38,2,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.203747,1,0,0.7948,0.1,0.891887,0.551286,3.16108,0.106399,8,31276.5,2494.62,2.84823,0.192561,2.73935,0.754166,1.50833
7dc56742f442,3,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.163133,1,0,0.811,0.1,0.901211,0.613402,1.85936,0.109871,8,7554.36,1189.54,1.79991,0.0866289,1.64012,0.755091,1.51018
77ca05c4191f,4,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.24413,1,0,0.8046,0.1,0.896251,0.649988,0.238122,0.117799,8,41.7456,13.7999,0.279501,0.0314357,0.397768,0.752292,1.50458
0af492718eaa,5,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.162403,1,0,0.8022,0.1,0.89429,0.585709,1.99836,0.0807088,8,7263.8,1512.29,1.90145,0.102716,1.64305,0.749204,1.49841
9fd07a2e4378,6,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.234645,1,0,0.808,0.1,0.896774,0.573717,0.708572,0.156843,8,426.711,54.3718,0.550317,0.0607969,0.619571,0.766607,1.53321
945195d7c109,7,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.254691,1,0,0.8004,0.1,0.8922,0.460862,0.950473,0.139324,8,2138.76,395.362,0.932112,0.0516679,1.265,0.753504,1.50701
6d5492ea2e1b,8,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.212121,1,0,0.801,0.1,0.895814,0.56523,0.962557,0.0777842,8,964.301,360.89,0.887766,0.0643468,0.732007,0.754586,1.50917
16ffb0267589,9,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.291555,1,0,0.8022,0.1,0.890693,0.600441,0.964571,0.106598,8,1301.35,289.456,0.894939,0.0625144,0.983644,0.754941,1.50988
b3b13f28a551,10,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.22737,1,0,0.8026,0.1,0.897886,0.500159,0.614061,0.123204,8,155.932,37.3544,0.588654,0.0569934,0.609922,0.757624,1.51525
960cb2dfe419,11,"resampler: Stratified, n_particles: 10",aiserver,2026-09-14T08:33:44+00:00,d7328d3e3c3f,stratified,10,0.221068,1,0,0.7954,0.1,0.898488,0.52195,0.288021,0.0808667,8,121.06,26.9791,0.38586,0.0301273,0.631028,0.76118,1.52236
